icao,name,city,country,latitude,longitude,type
SSWW,Fazenda Belém Airport,Corumbá,BR,-18.67416763305664,-55.89472198486328,small_airport
SSWZ,Fazenda Dona Neném Airport,Presidente Olegário,BR,-18.5094432831,-46.2738876343,small_airport
SSXA,Fazenda Congonhas Airport,Rancho Alegre,BR,-23.038610458374023,-50.934444427490234,small_airport
SSXB,Casa das Onças Airport,Barão de Melgaço,BR,-17.152219,-56.570669,small_airport
SSXD,Sarandi Airport,Sarandi,BR,-27.98110008239746,-52.86360168457031,small_airport
SSXH,Sócrates Mariani Bittencourt Airport,Brumado,BR,-14.2554,-41.817501,small_airport
SSXI,Fazenda Macisa Airport,Tabaporã,BR,-11.182804,-56.798977,small_airport
SSXL,Laguna Airport,Miranda,BR,-20.434722900390625,-56.33583450317383,small_airport
SSXM,Fazenda Guaciara Airport,Jateí,BR,-22.78595,-53.880853,small_airport
SSXN,Aéreo Amazônia Airport,Altamira,BR,-8.298333333,-55.11472222,small_airport
SSXO,Pousada das Águias Airport,Presidente Castelo Branco,BR,-23.288888931274414,-52.12916564941406,small_airport
SSXQ,Fazenda Jota III Airport,Inocência,BR,-19.330599,-51.971108,small_airport
SSXV,Fazenda Santa Rita Airport,Naviraí,BR,-22.950000762939453,-54.112220764160156,small_airport
SSXW,Fazendas Reunidas Schlatter Airport,Chapadão Do Sul,BR,-18.807777,-52.600277,small_airport
SSXX,Xanxerê Airport,Xanxerê,BR,-26.875067,-52.372862,small_airport
SSXZ,Fazenda Santa Rosa Airport,Iturama,BR,-19.747499465942383,-50.12916564941406,small_airport
SSYA,Fazenda Tropical Airport,São Luiz do Norte,BR,-14.87732,-49.195157,small_airport
SSYC,Fazenda Mimoso Airport,Chapadão do Sul,BR,-19.049771,-52.966901,small_airport
SSYD,Fazenda Andorinha I Airport,Pau D`Arco,BR,-7.548056,-49.208057,small_airport
SSYE,Fazenda Roberta Airport,Araputanga,BR,-15.320833206176758,-58.50166702270508,small_airport
SSYF,Fazenda do Café Airport,Monte Alegre De Minas,BR,-18.871667861938477,-48.72055435180664,small_airport
SSYI,Fazenda Sesmarias Airport,Itaeté,BR,-13.055395,-40.833663,small_airport
SSYL,Fazenda Tuju Puitan Airport,Iguatemi,BR,-23.341110229492188,-54.56888961791992,small_airport
SSYO,Cachoeira Rica Airport,Chapada dos Guimarães,BR,-15.2625,-55.614723,small_airport
SSYQ,Agropecuária Monte Alverne Airport,Carazinho,BR,-28.378889083862305,-52.87944412231445,small_airport
SSYR,Fazenda Santa Maria Airport,Três Lagoas,BR,-20.346468,-52.319283,small_airport
SSYS,Fazenda Imbaúba Airport,Três Lagoas,BR,-19.908889770507812,-52.5363883972168,small_airport
SSYT,Itapiranga Airport,Itapiranga,BR,-27.142499923706055,-53.68579864501953,small_airport
SSYU,Fazenda Três Pontes Airport,Três Lagoas,BR,-19.830639,-52.585309,small_airport
SSYV,Fazenda Progresso Airport,Água Clara,BR,-19.726388931274414,-52.85139083862305,small_airport
SSYW,Fazenda Terra Forte Airport,Coxim,BR,-18.268333435058594,-54.782501220703125,small_airport
SSYY,Fazenda Fundãozinho Airport,Costa Rica,BR,-18.95111083984375,-53.149444580078125,small_airport
SSYZ,Fazenda Procomp II Airport,Aral Moreira,BR,-22.851110458374023,-55.39611053466797,small_airport
SSZA,Fazenda São Sebastião da Formosa Airport,Corumbá,BR,-17.72222137451172,-56.753334045410156,small_airport
SSZC,Fazenda Lambari Airport,Coxim,BR,-18.025275,-54.999262,small_airport
SSZF,Fazenda Santa Gertrudes Airport,Corumbá,BR,-18.4777774810791,-56.02166748046875,small_airport
SSZG,Fazenda São João Airport,Água Clara,BR,-19.257221221923828,-52.89638900756836,small_airport
SSZH,Fazenda Corrientes Airport,Tacuru,BR,-23.645969,-54.714375,small_airport
SSZL,Fazenda Córrego Azul Airport,Brasilândia,BR,-21.44161,-52.157492,small_airport
SSZM,Reserva Acurizal Airport,Corumbá,BR,-17.832875,-57.554401,small_airport
SSZN,Prudentópolis Airport,Prudentópolis,BR,-25.182639,-50.923443,small_airport
SSZO,Santa Marta I Airport,Santa Maria das Barreiras,BR,-8.541299,-50.652199,small_airport
SSZP,Fazenda Santa Adriana Airport,Jateí,BR,-22.69611167907715,-54.2158317565918,small_airport
SSZQ,Fazenda Panorama Airport,Bela Vista,BR,-22.038999557495117,-56.26940155029297,small_airport
SSZR,Luis Alberto Lehr Airport,Santa Rosa,BR,-27.90658,-54.520628,small_airport
SSZT,Fazenda São João Airport,Águas De Santa Bárbara,BR,-22.794166564941406,-49.34111022949219,small_airport
SSZU,Fazenda Três Marias Airport,Água Clara,BR,-19.503125,-53.049556,small_airport
SSZW,Usina Coruripe - Filial Limeira do Oeste Airport,Limeira Do Oeste,BR,-19.520191,-50.654031,small_airport
SUAA,Ángel S. Adami International Airport,Montevideo,UY,-34.7892,-56.264702,medium_airport
SUAG,Artigas International Airport,Artigas,UY,-30.4007,-56.5079,small_airport
SUAN,Anchorena Airport,Estancia Anchorena,UY,-34.270516,-57.964383,small_airport
SUAY,Termas del Arapey Airport,Termas del Arapey,UY,-30.938271,-57.517528,small_airport
SUBL,Captain Juan Manuel Boiso Lanza Air Base,Montevideo,UY,-34.811533,-56.164317,small_airport
SUBU,Placeres Airport,Bella Union,UY,-30.319807,-57.558823,small_airport
SUCA,Colonia Laguna de Los Patos International Airport,Colonia del Sacramento,UY,-34.456402,-57.770599,small_airport
SUCD,Cardona Airport,Cardona,UY,-33.875502,-57.397875,small_airport
SUCH,Chuy Airport,Chuy,UY,-33.71085,-53.471334,small_airport
SUCL,La Calera Airport,Minas,UY,-34.286766,-55.354757,small_airport
SUCM,Zagarzazú International Airport,Carmelo,UY,-33.96611,-58.325279,small_airport
SUCN,Aeroclub Canelones,Canelones,UY,-34.515153,-56.261384,small_airport
SUDU,Santa Bernardina International Airport,Durazno,UY,-33.358898,-56.499199,medium_airport
SUFT,Frigorifico Tacuarembó Airport,Tacuarembó,UY,-31.703611,-55.943056,small_airport
SUGA,Military Aeronautical School,Pando,UY,-34.7469,-55.961,small_airport
SUGN,Guichón Airfield,Guichón,UY,-32.3478,-57.1894,small_airport
SUJL,Juan Lacaze Airport,Juan Lacaze,UY,-34.415352,-57.46422,small_airport
SUJP,José Pedro Varela Airport,José Pedro Varela,UY,-33.4753,-54.539702,small_airport
SULS,Capitan Corbeta CA Curbelo International Airport,Punta del Este,UY,-34.855099,-55.094299,medium_airport
SUME,Ricardo Detomasi Airport,Mercedes,UY,-33.2489,-58.0737,small_airport
SUMI,Minas Municipal Airfield,Minas,UY,-34.345455,-55.227522,small_airport
SUMO,Cerro Largo International Airport,Melo,UY,-32.337898,-54.216702,small_airport
SUMU,Carrasco General Cesáreo L. Berisso International Airport,Ciudad de la Costa,UY,-34.835647,-56.026497,large_airport
SUNM,Estancia Nueva Mehlem Airport,Nuevo Berlin,UY,-32.96963,-57.982351,small_airport
SUPC,Charles Chalkling Airport,Paysandú,UY,-32.379601,-58.029761,small_airport
SUPE,El Jagüel / Punta del Este Airport,Maldonado,UY,-34.909716,-54.920212,small_airport
SUPL,Centro Aeronáutico Piriápolis,Punta Colorada,UY,-34.88278,-55.24861,small_airport
SUPU,Tydeo Larre Borges Airport,Paysandú,UY,-32.3633,-58.061901,medium_airport
SURB,Rio Branco Airport,Jaguarao,UY,-32.583057,-53.454166,small_airport
SURV,Presidente General Don Oscar D. Gestido International Airport,Rivera,UY,-30.9746,-55.4762,small_airport
SUSG,San Gregorio Airport,Cerro Chato,UY,-32.526501,-55.841636,small_airport
SUSJ,San José Airport,San José,UY,-34.350554,-56.752438,small_airport
SUSO,Nueva Hesperides International Airport,Salto,UY,-31.438499,-57.985298,medium_airport
SUTB,Tacuarembo Airport,Tacuarembo,UY,-31.749001,-55.925801,small_airport
SUTG,Tomás Gomenzoro Airport,Tomás Gomenzoro,UY,-30.436607,-57.446726,small_airport
SUTR,Treinta y Tres Airport,Treinta y Tres,UY,-33.195714,-54.347246,small_airport
SUVE,SAMAN Vergara Airport,Vergara,UY,-32.960353,-53.930913,small_airport
SUVO,Vichadero Airport,Vichadero,UY,-31.739166,-54.587776,small_airport
SUYI,Sarandí del Yí Airport,Sarandi del Yí,UY,-33.311667,-55.600278,small_airport
SUYN,Young Airport,Young,UY,-32.6872,-57.6581,small_airport
SVAC,Oswaldo Guevara Mujica Airport,Acarigua,VE,9.553375,-69.237869,medium_airport
SVAE,Montellano Airport,,VE,10.328100204467773,-72.48100280761719,small_airport
SVAF,Medano Alto Airport,Médano Alto,VE,6.933332920074463,-68.01667022705078,small_airport
SVAH,Cachimbo Airport,Coco de Mono,VE,10.033332824707031,-69.16666412353516,small_airport
SVAJ,Mata de Juajua Airport,,VE,8.81893,-65.886703,small_airport
SVAL,Algodonal Airport,,VE,8.350000381469727,-69.51667022705078,small_airport
SVAM,Mata de Caña Airport,,VE,7.316667079925537,-69.19999694824219,small_airport
SVAN,Anaco Airport,Anaco,VE,9.430225,-64.470726,medium_airport
SVAO,Altagracia de Orituco Airport,,VE,9.863332748413086,-66.2933349609375,small_airport
SVAP,Apurito Airport,Apurito,VE,7.918849945068359,-68.48300170898438,small_airport
SVAQ,Mata Oscura Airport,,VE,9.25,-68.48332977294922,small_airport
SVAR,Adícora Airport,Adícora,VE,11.936079,-69.811965,small_airport
SVAS,Armando Schwarck Airport,Guayabal,VE,6.57805,-66.816902,small_airport
SVAT,San Fernando de Atabapo Airport,San Fernando de Atabapo,VE,4.051683,-67.701133,small_airport
SVAU,Agua Clara Airport,,VE,6.75,-68.33333587646484,small_airport
SVAV,El Alcaravan Airport,,VE,9.273332595825195,-63.418331146240234,small_airport
SVAW,Merecure Airport,,VE,7.483333110809326,-67.8499984741211,small_airport
SVAX,Los Andes Airport,,VE,10,-72.583336,small_airport
SVAY,Araya Airport,,VE,10.597324,-64.272011,small_airport
SVAZ,Mata Palos Airport,,VE,8.433333396911621,-68.55000305175781,small_airport
SVBA,Boca Anaro Airport,Boca de Anaro,VE,7.8333330154418945,-70.26667022705078,small_airport
SVBC,General José Antonio Anzoategui International Airport,Barcelona,VE,10.111111,-64.692222,large_airport
SVBD,Los Camorucos Airport,,VE,7.616666793823242,-69.05000305175781,small_airport
SVBE,Bernal Airport,,VE,9.666666984558105,-72.58333587646484,small_airport
SVBG,La Batalla Airport,La Cruz,VE,9.199999809265137,-68.16666412353516,small_airport
SVBH,Los Belseres Airport,,VE,10.941666603088379,-68.26667022705078,small_airport
SVBI,Barinas Airport,Barinas,VE,8.615,-70.214167,medium_airport
SVBJ,Hato Viejo Airport,,VE,7.321667194366455,-69.66999816894531,small_airport
SVBK,Bocono Airport,Bocono,VE,9.266281,-70.229855,small_airport
SVBL,El Libertador Airbase,,VE,10.183375,-67.55732,medium_airport
SVBM,Barquisimeto International Airport,Barquisimeto,VE,10.042747,-69.35862,medium_airport
SVBN,Bocon Airport,,VE,6.599999904632568,-62.733333587646484,small_airport
SVBP,Jobito Airport,San Fernando de Apure,VE,7.590715,-67.207841,small_airport
SVBR,Carbonero Airport,,VE,10.416666984558105,-68.66666412353516,small_airport
SVBS,Escuela Mariscal Sucre Airport,Maracay,VE,10.249978,-67.649422,medium_airport
SVBT,Boquemonte Airport,,VE,9.199999809265137,-69.75,small_airport
SVBU,Central Venezuela Airport,Bobures,VE,9.173054,-71.112871,small_airport
SVBV,Banco Verde Airport,,VE,8.733332633972168,-69.53333282470703,small_airport
SVBW,Hato El Burro Airport,,VE,7.128957,-63.461154,small_airport
SVCB,General Tomas de Heres Airport,Ciudad Bolivar,VE,8.122161,-63.536957,medium_airport
SVCD,Caicara del Orinoco Airport,,VE,7.62551,-66.162804,medium_airport
SVCE,Zaraza Airport,Zaraza,VE,9.350306,-65.280655,small_airport
SVCG,Casigua El Cubo Airport,Casigua El Cubo,VE,8.75814,-72.536301,small_airport
SVCH,Achaguas Airport,,VE,7.739999771118164,-68.23999786376953,small_airport
SVCJ,San Carlos Airport,San Carlos,VE,9.64772,-68.574699,small_airport
SVCK,Caño Lucas Airport,El Poblado,VE,9.416666984558105,-68.88333129882812,small_airport
SVCL,Calabozo Airport,Guarico,VE,8.924656,-67.417091,medium_airport
SVCM,Cañita Mendera Airport,Tinaco,VE,9.683333396911621,-68.41666412353516,small_airport
SVCN,Canaima Airport,Canaima,VE,6.231989,-62.85485,medium_airport
SVCP,General Francisco Bermúdez Airport,Carúpano,VE,10.660014,-63.261681,medium_airport
SVCQ,Cazorla Airport,,VE,8.060600280761719,-66.96990203857422,small_airport
SVCR,José Leonardo Chirinos Airport,Coro,VE,11.414944,-69.680901,medium_airport
SVCS,Caracas Óscar Machado Zuloaga International Airport,Charallave,VE,10.286874,-66.815847,medium_airport
SVCT,Caujarito Airport,,VE,6.883333206176758,-68.38333129882812,small_airport
SVCU,Cumaná (Antonio José de Sucre) Airport,,VE,10.450333,-64.13047,medium_airport
SVCV,Cunaviche Airport,Cunaviche,VE,7.400000095367432,-67.43333435058594,small_airport
SVCW,Chinazón Airport,,VE,9.326666831970215,-70.93333435058594,small_airport
SVCX,Guachara Airport,,VE,7.300000190734863,-68.36666870117188,small_airport
SVCY,Cuartel Yaruro Airport,Las Campanas,VE,6.933332920074463,-68.63333129882812,small_airport
SVCZ,Captain Manuel Ríos Air Base,Carrizal,VE,9.37265,-66.922798,small_airport
SVDA,La Tortuga Punta Delgada Airport,Isla La Tortuga,VE,10.946759,-65.228966,small_airport
SVDB,Doña Bella Airport,,VE,9.333333015441895,-68.43333435058594,small_airport
SVDC,Cocuiza Airport,,VE,8.59000015258789,-66.25499725341797,small_airport
SVDF,Punto Fijo Airport,,VE,6.866666793823242,-68.78333282470703,small_airport
SVDG,Punta Gorda Airport,,VE,9.649999618530273,-63.7216682434082,small_airport
SVDM,Dos Mosquises Airport,Isla Los Roques,VE,11.794284,-66.892958,small_airport
SVDP,La Divina Pastora Airport,,VE,4.730000019073486,-60.96500015258789,small_airport
SVDR,Cordereño Airport,Cordereño,VE,7.903549,-69.922972,small_airport
SVDS,Codsa Airport,,VE,4.7916669845581055,-61.119998931884766,small_airport
SVDU,Dabajuro Airport,,VE,11.0275,-70.6925,small_airport
SVDV,Hato Veladero Airport,,VE,9.449999809265137,-63.17499923706055,small_airport
SVDW,Ciudad Piar Airport,,VE,7.493790149688721,-63.269798278808594,small_airport
SVDX,Hato Puga Airport,,VE,8.466667175292969,-62.483333587646484,small_airport
SVDZ,Puerto Paez Airport,Puerto Paez,VE,6.220095,-67.447508,small_airport
SVEB,El Guayabo del Zulia Airport,,VE,8.676159858703613,-72.33560180664062,small_airport
SVED,El Dorado Airport,Bolivar,VE,6.71573,-61.638786,medium_airport
SVEE,El Esterero Airport,El Samán de Apure,VE,7.908332824707031,-68.69667053222656,small_airport
SVEF,Empujeca Airport,,VE,10.595000267028809,-68.49500274658203,small_airport
SVEG,El Guayabo de Cojedes Airport,,VE,9.699999809265137,-68.33333587646484,small_airport
SVEJ,El Jabillal Airport,,VE,9.449999809265137,-70.80000305175781,small_airport
SVEK,El Capitán Airport,,VE,10.11359977722168,-72.57659912109375,small_airport
SVEL,El Callao (El Perú) Airport,,VE,7.300000190734863,-61.79999923706055,small_airport
SVEM,El Paraiso Airport,El Paraiso,VE,8.333333015441895,-70.375,small_airport
SVEN,Encontrados Airport,,VE,9.03777,-72.24797,small_airport
SVEP,El Palmar Airport,,VE,10.206666946411133,-67.44166564941406,small_airport
SVER,El Respiro Airport,,VE,7.216667175292969,-68.98332977294922,small_airport
SVES,El Samán de Apure Airport,El Samán de Apure,VE,7.912350177764893,-68.69270324707031,small_airport
SVET,El Manteco Airport,,VE,7.349514,-62.531447,small_airport
SVEW,El Cenizo Airport,,VE,9.55,-70.683334,small_airport
SVEX,La Esperanza Airport,,VE,8.699999809265137,-69.07499694824219,small_airport
SVEY,El Centro Airport,,VE,6.28000020980835,-69.11666870117188,small_airport
SVEZ,Elorza Airport,,VE,7.059677,-69.4967,medium_airport
SVFE,Hacienda Santa Fé Airport,Hacienda Santa Fé,VE,9.57438,-72.565838,small_airport
SVFG,El Flagelo Airport,Francisco de Miranda,VE,9.1856,-67.032452,small_airport
SVFK,La Fe de Cojedes Airport,La Mosca,VE,9.483332633972168,-67.81666564941406,small_airport
SVFL,Fundación Layera Airport,,VE,7.199999809265137,-68.13333129882812,small_airport
SVFM,Generalissimo Francisco de Miranda Air Base,Caracas,VE,10.485033,-66.843513,medium_airport
SVFR,El Frío Airport,Guarico,VE,7.823332786560059,-68.89833068847656,small_airport
SVFS,Fagotrans Airport,,VE,9.401639938354492,-66.64309692382812,small_airport
SVFT,El Fuentero Airport,,VE,7.1,-69.583333,small_airport
SVFU,La Fortuna Airport,San Antonio de Caparo,VE,7.5833330154418945,-71.46666717529297,small_airport
SVFW,Finca Villa Carrara II Airport,,VE,9.868,-63.752167,small_airport
SVFX,La Fe de Apure Airport,,VE,7.2133331298828125,-69.49666595458984,small_airport
SVFY,Finca Yacurito Airport,,VE,9.033332824707031,-69.0999984741211,small_airport
SVGA,Agropecuaria Gamma Airport,,VE,8.75,-70,small_airport
SVGC,La Gran China Airport,,VE,9.77708,-72.486801,small_airport
SVGD,Guasdualito Airport,Guasdualito,VE,7.210834,-70.756386,medium_airport
SVGE,Ganadería Pedernales Airport,,VE,9.210000038146973,-69.5816650390625,small_airport
SVGG,Agropecuaria Los Araguaneyes Airport,,VE,9.583333015441895,-63.04999923706055,small_airport
SVGH,La Guacharaca Airport,,VE,9.53499984741211,-66.7249984741211,small_airport
SVGI,Guiria Airport,,VE,10.574077606200001,-62.3126678467,medium_airport
SVGL,Agua Linda Airport,,VE,7.635000228881836,-70.8499984741211,small_airport
SVGP,Guesipo Airport,,VE,9.633333206176758,-67.18333435058594,small_airport
SVGR,El Milagro Carabobo Airport,,VE,10.152999877929688,-68.37519836425781,small_airport
SVGT,Guasipati Airport,,VE,7.475,-61.900002,small_airport
SVGU,Guanare Airport,Guanare,VE,9.026944,-69.75515,medium_airport
SVGX,Las Guadalupes Airport,Independencia,VE,8.749278,-63.556488,small_airport
SVGZ,La Garza Airport,,VE,7.949999809265137,-69.11666870117188,small_airport
SVHA,Hato Altamira de Bolívar Airport,,VE,7.599999904632568,-63.21666717529297,small_airport
SVHC,Hacienda El Caimito Airport,,VE,10.149999618530273,-72.18333435058594,small_airport
SVHD,Hacienda El Calvario Airport,,VE,9.899999618530273,-72.55000305175781,small_airport
SVHE,Hato Rancho Alegre Airport,,VE,9.566666603088379,-67.56666564941406,small_airport
SVHG,Higuerote Airport,Higuerote,VE,10.462474,-66.092779,small_airport
SVHH,Churuguara Airport,Churuguara,VE,10.808099746704102,-69.63839721679688,small_airport
SVHK,Hato la Guaca Airport,,VE,9.399999618530273,-67.78333282470703,small_airport
SVHL,Hacienda Carutal Airport,,VE,9.716667175292969,-66.78333282470703,small_airport
SVHM,Hato Los Mamones Airport,Hato Los Mamomes,VE,9.333333015441895,-67.91666412353516,small_airport
SVHN,Hato La Chaconera Airport,,VE,8.105409622192383,-68.71910095214844,small_airport
SVHO,Hacienda El Oasis Airport,La Palmita,VE,8.36822,-69.9571,small_airport
SVHP,Hacienda El Paso Airport,Las Vegas del Tuy,VE,10.713333129882812,-69.20833587646484,small_airport
SVHR,Hato El Carito Airport,Los Marimares,VE,9.5,-67.94999694824219,small_airport
SVHS,Hato El Sesenta Airport,El Socorro,VE,8.245639,-65.556921,small_airport
SVHT,Hato Altamira de Monagas Airport,,VE,9.366666793823242,-63.08333206176758,small_airport
SVHX,Hato La Candelaria Airport,,VE,8.683333396911621,-67.71666717529297,small_airport
SVHY,Hato Las Yeguas Airport,,VE,8.720000267028809,-68.47166442871094,small_airport
SVIC,Icabarú Airport,,VE,4.33632,-61.739601,small_airport
SVIE,Andrés Miguel Salazar Marcano Airport,Isla de Coche,VE,10.794432,-63.98159,small_airport
SVIM,Hato El Caimán Airport,,VE,9.100000381469727,-69.62000274658203,small_airport
SVJC,Josefa Camejo International Airport,Paraguaná,VE,11.780775,-70.151497,medium_airport
SVJF,Juan Florencio Airport,,VE,7.400000095367432,-67.98332977294922,small_airport
SVJH,Juancho Airport,Soledad,VE,8.179719924926758,-63.59600067138672,small_airport
