folder,icaos_in_name
fs20-microsoft-discovery-pennine,SCOV
fs20-microsoft-discovery-perth,SCOV
fs20-microsoft-discovery-prague,SCOV
fs20-microsoft-discovery-queenstown,ENST|SCOV
fs20-microsoft-discovery-roma,SCOV
fs20-microsoft-discovery-sanjuan,SCOV
fs20-microsoft-discovery-sarajevo,SCOV
fs20-microsoft-discovery-seattle,SCOV
fs20-microsoft-discovery-singapore,SING|SCOV
fs20-microsoft-discovery-stlouis,SCOV
fs20-microsoft-discovery-stlucia,SCOV
fs20-microsoft-discovery-stmarteen,SCOV
fs20-microsoft-discovery-sydney,SCOV
fs20-microsoft-discovery-tahiti,SCOV
fs20-microsoft-discovery-toronto,SCOV
fs20-microsoft-discovery-uluru,SCOV
fs20-microsoft-discovery-vancouver,SCOV
fs20-microsoft-discovery-venezia,SCOV
fs20-microsoft-discovery-westmaui,SCOV
fs20-microsoft-germany-austria-switzerland-point-of-interest,USTR|SWIT
fs20-microsoft-landingchallenge-1id9-inkom-fs24,HALL
fs20-microsoft-landingchallenge-ayin-busilmin,HALL|AYIN|SILM
fs20-microsoft-landingchallenge-biar-akureyri,HALL|BIAR
fs20-microsoft-landingchallenge-cas3-barkerville-fs24,HALL|KERV
fs20-microsoft-landingchallenge-cycg-castlegar-fs24,HALL|CYCG|LEGA|EGAR
fs20-microsoft-landingchallenge-cyyc-calgary-fs24,HALL|CYYC
fs20-microsoft-landingchallenge-dach2a-edcp,HALL|EDCP
fs20-microsoft-landingchallenge-dach2b-logi,LOGI|HALL
fs20-microsoft-landingchallenge-dach2c-lspm,LSPM|HALL
fs20-microsoft-landingchallenge-eddl-dusseldorf-fs24,EDDL|HALL|SELD|LDOR
fs20-microsoft-landingchallenge-edxh-duene-fs24,HALL|EDXH
fs20-microsoft-landingchallenge-egpr-barra,HALL|EGPR
fs20-microsoft-landingchallenge-egss-stansted-fs24,EGSS|HALL
fs20-microsoft-landingchallenge-eick-cork-fs24,HALL|EICK
fs20-microsoft-landingchallenge-enra-rossvoll-fs24,SVOL|HALL|ENRA|SSVO
fs20-microsoft-landingchallenge-essc-ekeby-fs24,HALL|EKEB|ESSC
fs20-microsoft-landingchallenge-katl-atlanta-fs24,HALL|KATL
fs20-microsoft-landingchallenge-ktex-telluride-fs24,HALL|KTEX
fs20-microsoft-landingchallenge-ldsp-kastela,KAST|HALL|LDSP
fs20-microsoft-landingchallenge-lebb-bilbao-fs24,HALL|LEBB
fs20-microsoft-landingchallenge-lege-girona-fs24,HALL|LEGE
fs20-microsoft-landingchallenge-lenl-leon,HALL
fs20-microsoft-landingchallenge-licj-palermo-fs24,LERM|HALL|LICJ
fs20-microsoft-landingchallenge-licr-reggiocalabria-fs24,HALL|LICR
fs20-microsoft-landingchallenge-limj-sestri-fs24,LIMJ|HALL|SEST
fs20-microsoft-landingchallenge-ljza-zagorje,HALL
fs20-microsoft-landingchallenge-lowk-klagenfurt-fs24,HALL|LOWK
fs20-microsoft-landingchallenge-lppi-pico,HALL|LPPI
fs20-microsoft-landingchallenge-lppm-portimao-fs24,HALL|ORTI|LPPM
fs20-microsoft-landingchallenge-lsza-lugano-fs24,HALL|LSZA
fs20-microsoft-landingchallenge-lszr-stgallen-fs24,HALL|LSZR
fs20-microsoft-landingchallenge-lztt-tatry,HALL|LZTT
fs20-microsoft-landingchallenge-mdpp-luperon-fs24,HALL|MDPP
